adjective	'xdZIktIv	имя прилагательное		
adjoin	q'dZOIn	прилегать; примыкать	the playground adjoins the school; the two houses adjoin	
adjourn	q'dZx:n	объявлять; делать перерыв		
adjudicate	q'dZu:dIkeIt	судить	to adjudicate in a contest/a competition	быть членом жюри на конкурсе
adjunct	'xdZANkt	дополнение; приложение		
adjust	q'dZAst	приводить в порядок; регулировать; приспосабливать		
adjustment	q'dZAstmqnt	приспособление; регулировка		
administer	qd'mInIstq	управлять; вести дела; отправлять; применять; давать; снабжать		
administration	qd.mInI'streISn	управление; администрирование; отправление; применение; администрация; руководство; правительство		
administrative	qd'mInIstrqtIv	административный		
administrator	qd'mInIstreItq	административное должностное лицо; управляющий	university administrators	
admirable	'xdmqrqbl	отличный; превосходный; восхитительный		
admiral	'xdmqrql	адмирал		
admiration	.xdmq'reISn	восхищение; восторг		
admire	qd'maIq	восхищаться; любоваться		
admirer	qd'maIqrq	поклонник	a devoted/sincere/secret admirer	преданный/искренний/тайный поклонник
admission	qd'mISn	вход; доступ; признание		
admit	qd'mIt	признавать; впускать; принимать		
admittance	qd'mItqns	вход; доступ	no admittance; to refuse/to deny admittance	входа нет/посторонним вход воспрещён; отказаться впустить
admonish	qd'mPnIS	предостерегать; предупреждать	he was admonished by his doctor for smoking so much	врач предупредил его, что он слишком много курит
ado	q'du:	суета; хлопоты	without more/further ado; much ado about nothing	без лишних слов; много шума из ничего
adolescent	.xdqǔ'lesnt	юноша; юношеский	adolescent crime; adolescent years; adolescent behaviour	
adopt	q'dPpt	усыновлять; перенимать; усваивать; принимать		
adoptive	q'dPptIv	приёмный	smb's adoptive parents	чьи-л. приёмные родители
adorable	q'dO:rqbl	прелестный; чудесный	an adorable child/kitten	прелестный ребёнок/котёнок
adoration	.xdq'reISn	обожание	he didn't tell anyone of his adoration for her	он никому не рассказывал о том, что обожал её
adore	q'dO:	обожать	she adores her husband/the cinema	она обожает своего мужа/
adorn	q'dO:n	украшать		
adrift	q'drIft	по течению; без цели		
adroit	q'drOIt	искусный; умелый		
adult	'xdAlt	взрослый; взрослый; совершеннолетний	adults only!; adult books/films; an adult person/animal	
adultery	q'dAltqrI	супружеская неверность	to commit adultery with	изменить супругу с кем-л.
advance	qd'vã:ns	продвижение; наступление; аванс; продвигать вперёд; совершенствовать; делать успехи; переносить на более ранний срок; платить аванс; выдвигать		
advanced	qd'vã:nst	развитой; продвинутый; передовой; современный		
advantage	qd'vã:ntIdZ	преимущество; выгода; польза		
advantageous	.xdvqn'teIdZqs	выгодный	an advantageous deal; to be clearly advantageous	выгодная сделка; быть явно выгодным
adventure	qd'ventSq	приключение; риск; опасность		
adventurer	qd'ventSqrq	любитель приключений; авантюрист		
adventurous	qd'ventSqrqs	смелый; предприимчивый; полный приключений	an adventurous journey/voyage	полное приключений путешествие
adverb	'xdvx:b	наречие		
adverse	'xdvx:s	неблагоприятный; вредный		
advert	'xdvx:t			
advertise	'xdvqtaIz	рекламировать; помещать; давать объявление		
advertisement	qd'vx:tIsmqnt	объявление; реклама		
advertising	'xdvqtaIzIN	реклама		
advice	qd'vaIs	совет		
advise	qd'vaIz	советовать; рекомендовать; консультировать	to advise a change of air; to advise on a question	
adviser	qd'vaIzq	советник; консультант	an adviser to the president; an adviser on foreign affairs	советник президента; советник по вопросам внешней политики
advisory	qd'vaIzqrI	совещательный; консультативный	an advisory board; in an advisory capacity	консультативная комиссия; с правом совещательного голоса
advocate	'xdvqkeIt	защитник; сторонник; адвокат; отстаивать; пропагандировать		
aegis	'i:dZIs			под эгидой; реформа проводится под эгидой ООН
aerial	'eqrIql	антенна; воздушный		
aerobics	eq'rqǔbIks	аэробика	to do aerobics; aerobics classes	заниматься аэробикой; занятия аэробикой
aerodynamics	.eqrqǔdaI'nxmIks	аэродинамика		
aeronautics	.eqrq'nO:tIks	аэронавтика		
aeroplane	'eqrqpleIn	самолёт		
aerosol	'eqrqǔsPl	аэрозоль		
aesthetic	i:s'TetIk	эстетический	aesthetic standards; from an aesthetic point of view	каноны красоты; с эстетической точки зрения
aesthetics	i:s'TetIks	эстетика		
afar	q'fã:		from afar	издалека
affable	'xfqbl	вежливый; приветливый	an affable reply; affable to everybody	вежливый ответ; приветливый со всеми
affair	q'feq	событие; дело; дело; занятие; роман; любовная связь		
affect	q'fekt	воздействовать; влиять; взволновать; тронуть; притворяться		
affectation	.xfek'teISn	притворство		
affected	q'fektId	деланный; притворный	an affected politeness/cheerfulness; affected manners	притворная вежливость/весёлость; жеманные манеры
affection	q'fekSn	привязанность; любовь		
affectionate	q'fekSnqt	нежный; ласковый; любящий	an affectionate look; an affectionate wife	нежный взгляд; любящая жена
affiliate	q'fIlIeIt	присоединять		
affinity	q'fInqtI	близость; сходство; родство; близость		
affirm	q'fx:m	утверждать; подтверждать	to affirm the truth of a statement; to affirm categorically	
affirmative	q'fx:mqtIv	утвердительный	an affirmative answer; to reply/to answer in the affirmative	утвердительный ответ; отвечать утвердительно
affix	q'fIks	прикреплять; ставить		
afflict	q'flIkt	поражать; беспокоить	afflicted with a disease; to feel much afflicted by the news	
affluence	'xflǔqns	достаток; богатство	to live in affluence; to rise to affluence	жить в достатке; достичь благополучия
affluent	'xflǔqnt	богатый	an affluent society; an affluent family	богатое общество; состоятельная семья
afford	q'fO:d	позволить себе		
affront	q'frAnt	оскорбление; оскорблять		
afire	q'faIq	в огне	to set afire; to be afire with enthusiasm	поджечь; гореть энтузиазмом
aflame	q'fleIm	в огне	to be aflame; to be aflame with passion	пылать/гореть; сгорать от страсти
afloat	q'flqǔt	на плаву; без долгов		
afoot	q'fǔt		there's something afoot	что-то затевается
afraid	q'freId	испуганный		
afresh	q'freS	снова; заново	to start afresh	начать заново/с самого начала ещё раз
African	'xfrIkqn	африканец; африканка; африканский		
after	'ã:ftq	после; следом; по порядку; по; согласно; в стиле; после того; как		
aftermath	'ã:ftqmxT	последствие	the aftermath of war; in the aftermath of an earthquake	последствия войны; в результате землетрясения
afternoon	.ã:ftq'nu:n	время после полудня		
afterthought	'ã:ftqTO:t	запоздалая мысль	it came to me as an afterthought	эта мысль пришла мне в голову позднее
afterwards	'ã:ftqwqdz	позже; впоследствии; потом	afterwards he told her everything	впоследствии он ей всё рассказал
again	q'gen	снова; ещё раз; опять; кроме		
against	q'genst	против; по направлению; на; с; по; к; на случай		
age	eIdZ	возраст; век; эпоха; стареть; стариться		
aged	'eIdZId	престарелый	an aged man	глубокий старик
agency	'eIdZqnsI	агентство		
agenda	q'dZendq	повестка дня		
agent	'eIdZqnt	агент; представитель; посредник		
aggravate	'xgrqveIt	усугублять; отягчать; ухудшать		
aggression	q'greSn	агрессия		
aggressive	q'gresIv	агрессивный	an aggressive manner; a man of an aggressive disposition	агрессивная манера; человек с агрессивным характером
agile	'xdZaIl	подвижный; юркий; живой	to be agile for one's age; an agile mind	быть очень подвижным для своего возраста; живой ум
agitate	'xdZIteIt	волновать; возбуждать; агитировать; выступать; взбалтывать	to become deeply agitated; to agitate for	сильно разволноваться; агитировать за что-л.
agitation	.xdZI'teISn	волнение; возбуждение; выступление		
ago	q'gqǔ	тому назад		несколько минут/лет назад; давно; недавно; не позднее чем
agonizing	'xgqnaIzIN	мучительный	agonizing pain; an agonizing decision	мучительная боль; мучительное решение
agony	'xgqnI	мука; страдание; сильная боль; агония		
agrarian	qg'reqrIqn	аграрный; земельный	agrarian reforms	земельные реформы
agree	q'gri:	соглашаться; договариваться; соответствовать		
to agree with		подходить; быть полезным		этот климат мне не подходит; ему нельзя пить вино
agreeable	q'grIqbl	приятный; согласный		
agreement	q'gri:mqnt	соглашение; договор; согласие		
agricultural	.xgrI'kAltSqrql	сельскохозяйственный		
agriculture	'xgrIkAltSq	сельское хозяйство; земледелие		
ahead	q'hed	впереди; вперёд		
aid	eId	помощь; помогать		
AIDS	eIdz	СПИД	to contract/to get AIDS	заразиться/заболеть СПИДом
aim	eIm	цель; прицел; цель; намерение; целиться; стремиться; намереваться		
air	eq	воздух; вид; манера; проветривать; просушивать		
air-conditioned	'eqkqndISnd		our office is fully air-conditioned	наш офисполностью оснащён кондиционерами
aircraft	'eqkrã:ft		an unidentified aircraft	неопознанный самолёт
aircraft carrier	'eqkrã:ft.kxrIq	авианосец		
airhostess	'eq.hqǔstIs	стюардесса		
airline	'eqlaIn	авиакомпания	a domestic/international/local airline	
airmail	'eqmeIl	авиапочта	to send a letter by airmail	послать письмо авиапочтой
airplane	'eqpleIn	самолёт		
airport	'eqpO:t	аэропорт	at an airport	в аэропорту
airsick	'eqsIk		I'm always airsick	меня всегда укачивает в самолёте
airy	'eqrI	просторный; беспечный; легковесный	a light and airy room; an airy manner; airy promises	
aisle	aIl	проход	to clear the aisles	освободить проходы
ajar	q'dZã:	приоткрытый	to leave a door ajar	оставить дверь приоткрытой
alarm	q'lã:m	тревога; беспокойство; сигнал тревоги; сигнализация; тревожить; волновать		
alarm clock	q'lã:mklPk	будильник	to set an alarm clock; the alarm clock went off/rang/sounded	заводить будильник; зазвонил будильник
alarmist	q'lã:mIst	паникёр		
alas	q'lã:s	увы!		
album	'xlbqm	альбом	a photograph/stamp album; a wedding album; a record album	
alcohol	'xlkqhPl	алкоголь		
alcoholic	.xlkq'hPlIk	алкоголик; алкогольный	a chronic alcoholic; alcoholic beverages/drinks	хронический алкоголик; алкогольные напитки
alert	q'lx:t	сигнал боевой тревоги; состояние боевой готовности; бдительный; живой; подвижный		
algebra	'xldZIbrq	алгебра		
alias	'eIlIqs	вымышленное имя	under an alias; to use several various aliases	под вымышленным именем; действовать под разными именами
alibi	'xlIbaI	алиби		
alien	'eIljqn	чужестранец; иностранец; инопланетянин; чужой; иностранный; чуждый; несвойственный		
alienate	'eIljqneIt	оттолкнуть; настроить против		порвать с семьёй/со старыми друзьями; оттолкнуть  кого-л.
alight	q'laIt	горящий	to be alight; eyes alight with joy	гореть; глаза, сияющие от радости
align	q'laIn			
to align with		выравнивать; объединяться		
alike	q'laIk	одинаковый; подобный; похожий; одинаково		
alive	q'laIv	живой; полный сил; бодрый; энергичный; изобилующий; полный; осознавать		
all	O:l	весь; целый; всякий; разный; совсем; совершенно; целиком; всё; все		
allegation	.xlI'geISn	обвинение		
allege	q'ledZ	заявлять; утверждать		
allergic	q'lx:dZIk		he is allergic to cats	у него аллергия на кошек
alley	'xlI	узкая улица; переулок; аллея	a blind alley	тупик
alliance	q'laIqns	союз		
allied	q'laId	союзный; близкий; смежный	the allied forces/countries; allied subjects; allied topics	
alligator	'xlIgeItq	аллигатор		
allocate	'xlqǔVeIt	предоставлять; выделять		
allot	q'lPt	распределять; выделять		
allow	q'laǔ	разрешать; давать; выделять; признавать; допускать		
allowance	q'laǔqns	денежное пособие; скидка		
alloy	'xlOI	сплав		
allude	q'lu:d		to allude to; to allude to smb's humble origins/great wealth	
allusion	q'lu:Zn	намёк		
ally	q'laI	союзник; объединяться; вступать в союз		
almond	'ã:mqnd	миндаль	almond oil	миндальное масло
almost	'O:lmqǔst	почти; чуть не		
alone	q'lqǔn	один; одинокий; только		
along	q'lPN	вдоль; по		
alongside	q.lPN'saId	рядом; бок о бок		
aloof	q'lu:f	неприветливый; замкнутый; отдельно; на расстоянии		
aloud	q'laǔd	вслух; громко	to read/to think aloud; to laugh aloud	читать/думать вслух; громко смеяться
alphabet	'xlfqbet	алфавит	the Arabic/Greek alphabet; the Cyrillic alphabet	арабский/греческий алфавит; кириллица
alphabetical	.xlfq'betIkl	алфавитный	in alphabetical order	в алфавитном порядке
alpine	'xlpaIn	альпийский; горный	alpine meadows; an alpine hut; an alpine view; alpine air	
already	O:l'redI	уже		он уже ушёл; они уже приняли решение; вы уже уходите?
also	'O:lsqǔ	тоже; также; к тому же		
altar	'O:ltq	алтарь	to lead  to the altar	жениться на ком-л.
alter	'O:ltq	менять		
alteration	.O:ltq'reISn	изменение		
alternate	'O:ltqneIt	чередовать		
alternative	O:l'tx:nqtIv	альтернатива; выбор; альтернативный; нетрадиционный		
although	O:l'Dqǔ	хотя; несмотря на	she kept her coat on, although it was warm in the room	она не снимала пальто, хотя в комнате было тепло
altitude	'xltItju:d	высота; высокая местность		
altogether	.O:ltq'geDq	совершенно; совсем; всего		
always	'O:lweIz	всегда	nearly always; not always	почти всегда; не всегда
AM		до полудня: 9 am девять часов утра		
am	.eI'em	1    to be; до полудня: 9 am девять часов утра		
amass	q'mxs	собирать; накапливать	to amass riches; to amass money; to amass a fortune	копить богатства; копить деньги; скопить состояние
amateur	'xmqtq	любитель; непрофессиональный	an amateur artist/photographer; an amateur production	художник-/фотограф-любитель; любительский спектакль
amaze	q'meIz	изумлять	to be amazed at/by the news; I was amazed to hear that	
amazement	q'meIzmqnt	изумление		
amazing	q'meIzIN	удивительный; поразительный		это поразительно!; поразительно, но она решила эту проблему
ambassador	xm'bxsqdq	посол		
ambiguity	.xmbI'gju:qtI	двусмысленность		
ambiguous	xm'bIgjǔqs	неясный; двусмысленный		
ambition	xm'bISn	честолюбивое стремление; желание; честолюбие; предмет  желаний; мечта		
ambitious	xm'bISqs	честолюбивый		
ambulance	'xmbjǔlqns	машина "скорой помощи"		
ambush	'xmbǔS	засада; нападать из засады		
amend	q'mend	вносить изменения	to amend the constitution/a bill	вносить поправки в конституцию/закон
amendment	q'mendmqnt	изменение; поправка		
amends	q'mendz		to make amends for the damage	возмещать убытки
amenity	q'mInqtI	удобство; место развлечений		
American	q'merIkqn	американец; американка; американский		
Americanism	q'merIkqnIzqm	американизм		
amiable	'eImjqbl	приятный; дружелюбный	an amiable young man	приятный молодой человек
amicable	'xmIkqbl	дружеский	in an amicable way; to reach an amicable agreement	по-дружески; договориться между собой по-дружески
amid	q'mId	среди; между	amid a crowd of people	среди толпы людей
amidst	q'mIdst	среди; между	amidst a crowd of people	среди толпы людей
ammunition	.xmjǔ'nISn	боеприпасы	live ammunition; to supply  with ammunition	боевые снаряды; снабжать кого-л. боеприпасами
amnesty	'xmnqstI	амнистия	a general/political amnesty; to declare/to grant amnesty	
among	q'mAN	среди; между		
amongst	q'mANst	среди; между		
amoral	.eI'mPrql	не имеющий понятия о принципах морали	young children are amoral	маленькие дети не знают норм морали
amount	q'maǔnt	количество		
ample	'xmpl	достаточный; обильный		
amplifier	'xmplIfaIq	усилитель		
amplify	'xmplIfaI	усиливать	an amplified guitar	гитара с усилителем
amplitude	'xmplItju:d	амплитуда		
amply	'xmplI		to be amply supplied with; to be amply rewarded	
amuse	q'mju:z	развлекать; забавлять		
amusement	q'mju:zmqnt	развлечение; забава		
amusing	q'mju:zIN	забавный; смешной		
an	qn. n			
anaemia	q'ni:mjq	анемия; малокровие	to develop anaemia	заболеть анемией
anaemic	q'ni:mIk	анемичный; малокровный; вялый	an anaemic person/performance	вялый человек, -ое представление
anaesthetic	.xnIs'TetIk	анестезия; наркоз		местный/общий наркоз; под наркозом; давать наркоз
analogous	q'nxlqgqs	аналогичный; сходный	analogous to/with	аналогичный чему-л.
analogy	q'nxlqdZI	аналогия		
analyse	'xnqlaIz	анализировать; разбирать		
analyses	q'nxlqsi:z	analysis		
analysis	q'nxlqsIs	анализ; разбор		
anarchy	'xnqkI	анархия; беспорядок	complete/total anarchy	полная анархия
anatomy	q'nxtqmI	анатомия	descriptive anatomy	описательная анатомия
ancestor	'xnsqstq	предок	a common/remote ancestor	общий/дальний предок
anchor	'xNkq	якорь		
ancient	'eInSqnt	древний; старинный; очень старый		
ancillary	xn'sIlqrI	вспомогательный; подсобный		
and	qnd. qn	и; a		
anecdote	'xnIkdqǔt	анекдот	a witty/off-colour anecdote	остроумный/пошлый анекдот
anew	q'nju:	сначала; заново	to start  anew	начать что-л. заново
angel	'eIndZql	ангел	a guardian angel; you're an angel!; smb's good angel	ангел-хранитель; ты просто ангел!; чей-л. добрый гений
anger	'xNgq	гнев; ярость; сердить		
angle	'xNgl	угол; точка зрения		
angler	'xNglq	рыбак; который ловит рыбу удочкой		
angling	'xNglIN	рыбная ловля удочкой		
angry	'xNgrI	сердитый		
anguish	'xNgwIS	мука; душевная боль; страдание	deep anguish; to be in anguish at/over	глубокая душевная боль; мучиться, терзаться чем-л.
